epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.874,1.91566,1.83608,1.46903,0.34922,0.61297,0.38597,0.14625,0.73196,693.408,0.47165,0.000658333,0.000658333,0.000658333
2,28.7553,1.75032,1.08613,1.38402,0.67891,0.53242,0.60444,0.29467,0.7486,172.589,0.48452,0.00119382,0.00119382,0.00119382
3,40.4025,1.69728,0.99604,1.35459,0.57379,0.69745,0.56569,0.27697,0.69799,316.819,0.46725,0.00159732,0.00159732,0.00159732
4,51.9683,1.68553,0.96613,1.33193,0.53411,0.74558,0.50826,0.24745,0.71009,288.558,0.4693,0.001406,0.001406,0.001406
5,63.533,1.62184,0.85138,1.29545,0.59829,0.77996,0.63177,0.29589,0.69062,247.258,0.46467,0.001208,0.001208,0.001208
6,75.1394,1.56827,0.81872,1.26196,0.57111,0.7469,0.6282,0.2951,0.73263,179.859,0.47138,0.00101,0.00101,0.00101
7,86.7036,1.52885,0.74902,1.23094,0.57502,0.82711,0.63699,0.31368,0.66473,225.951,0.44821,0.000812,0.000812,0.000812
8,98.2975,1.50978,0.72904,1.23291,0.59034,0.80059,0.58942,0.30275,0.64975,269.725,0.44259,0.000614,0.000614,0.000614
9,109.838,1.47344,0.67923,1.21159,0.57402,0.83301,0.67015,0.37262,0.63288,244.03,0.43924,0.000416,0.000416,0.000416
10,121.43,1.42661,0.64146,1.19144,0.65922,0.80255,0.655,0.33835,0.64307,237.482,0.43844,0.000218,0.000218,0.000218
