epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6094,2.01789,1.90544,1.29753,0.68507,0.62279,0.66132,0.33186,1.51501,2.55151,1.22491,0.000651515,0.000651515,0.000651515
2,58.3614,1.73196,1.04909,1.15128,0.73061,0.64735,0.70143,0.31922,1.61064,1.13407,1.29549,0.00118768,0.00118768,0.00118768
3,64.9324,1.70095,0.97883,1.12652,0.85837,0.76205,0.83016,0.36981,1.48414,1.07562,1.18727,0.00159185,0.00159185,0.00159185
4,71.5325,1.63531,0.88454,1.10223,0.87549,0.76672,0.84271,0.40746,1.61899,0.97952,1.29148,0.001406,0.001406,0.001406
5,78.0953,1.59591,0.86562,1.08126,0.89992,0.81266,0.8777,0.45194,1.30976,0.67019,1.06506,0.001208,0.001208,0.001208
6,84.6714,1.53212,0.82254,1.07298,0.89693,0.8389,0.89951,0.457,1.28945,0.69723,1.05635,0.00101,0.00101,0.00101
7,91.2424,1.53744,0.79241,1.05655,0.9089,0.82322,0.89645,0.46136,1.38196,0.63155,1.10571,0.000812,0.000812,0.000812
8,97.8205,1.49728,0.75468,1.04862,0.91234,0.84858,0.9113,0.49234,1.3008,0.60115,1.06893,0.000614,0.000614,0.000614
9,104.39,1.45669,0.74097,1.02238,0.93757,0.84774,0.91607,0.49658,1.28033,0.56142,1.06049,0.000416,0.000416,0.000416
10,110.973,1.44229,0.71103,1.0198,0.9114,0.8556,0.91771,0.49977,1.24748,0.55351,1.03519,0.000218,0.000218,0.000218
