epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4951,2.02762,1.94325,1.30386,0.69946,0.69548,0.73293,0.34868,1.60352,4.73332,1.30639,0.000651515,0.000651515,0.000651515
2,18.4506,1.74112,1.03866,1.15755,0.68609,0.7171,0.62337,0.30841,1.45049,2.58547,1.20757,0.00118768,0.00118768,0.00118768
3,25.0384,1.68484,0.92844,1.13068,0.87557,0.73962,0.80156,0.41027,1.40776,0.84459,1.15678,0.00159185,0.00159185,0.00159185
4,31.6624,1.62793,0.90782,1.1075,0.6899,0.80059,0.65313,0.3205,1.38346,1.26746,1.14089,0.001406,0.001406,0.001406
5,38.2442,1.58963,0.86149,1.08963,0.87704,0.83104,0.88724,0.46294,1.28046,1.0612,1.07585,0.001208,0.001208,0.001208
6,44.8516,1.54028,0.82223,1.07876,0.90356,0.83202,0.89991,0.49488,1.30501,0.65252,1.08354,0.00101,0.00101,0.00101
7,51.4457,1.5464,0.80153,1.06254,0.90482,0.83792,0.89843,0.49607,1.30983,0.61393,1.08789,0.000812,0.000812,0.000812
8,58.0455,1.47764,0.73887,1.04364,0.91192,0.85756,0.91138,0.50735,1.31486,0.57561,1.09707,0.000614,0.000614,0.000614
9,64.6583,1.46187,0.73479,1.02587,0.92306,0.86935,0.91565,0.50061,1.26991,0.55931,1.05422,0.000416,0.000416,0.000416
10,71.2223,1.4225,0.70291,1.01647,0.90576,0.87799,0.9212,0.51435,1.22099,0.54232,1.03071,0.000218,0.000218,0.000218
