epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1921,1.99277,1.83539,1.56477,0.66006,0.65914,0.67025,0.28988,0.78973,212.525,0.51136,0.000658333,0.000658333,0.000658333
2,29.1216,1.77481,1.19778,1.41325,0.52795,0.65226,0.50462,0.17459,0.95219,441.728,0.57817,0.00125433,0.00125433,0.00125433
3,40.8372,1.74687,1.13928,1.38957,0.50016,0.68861,0.57158,0.22575,0.88845,329.795,0.54158,0.00177922,0.00177922,0.00177922
4,52.4542,1.74988,1.07504,1.38316,0.64953,0.64637,0.61678,0.26385,0.79503,77.2747,0.50311,0.00168,0.00168,0.00168
5,64.0865,1.68214,1.00977,1.35916,0.60086,0.69745,0.57774,0.2128,0.90588,256.986,0.55485,0.00157333,0.00157333,0.00157333
6,75.7459,1.65264,1.01742,1.33505,0.55751,0.72651,0.66954,0.25837,0.88996,359.042,0.54232,0.00146667,0.00146667,0.00146667
7,87.3921,1.64571,0.94587,1.34897,0.63447,0.75835,0.61105,0.27448,0.78153,202.968,0.49287,0.00136,0.00136,0.00136
8,99.0471,1.61851,0.92846,1.30442,0.66348,0.81336,0.64977,0.31194,0.70504,212.621,0.46555,0.00125333,0.00125333,0.00125333
9,110.733,1.58544,0.89355,1.30789,0.65031,0.76817,0.6431,0.31586,0.71277,199.868,0.46793,0.00114667,0.00114667,0.00114667
10,122.43,1.57177,0.84816,1.29558,0.64543,0.82318,0.69862,0.32706,0.73439,192.665,0.48007,0.00104,0.00104,0.00104
11,134.132,1.54827,0.83932,1.27779,0.6601,0.82413,0.66604,0.30133,0.75881,262.919,0.48373,0.000933333,0.000933333,0.000933333
12,145.799,1.55938,0.82774,1.27701,0.6345,0.81139,0.65203,0.312,0.73203,219.186,0.47601,0.000826667,0.000826667,0.000826667
13,157.486,1.54542,0.80518,1.2813,0.65914,0.81681,0.62607,0.27659,0.76471,273.239,0.48426,0.00072,0.00072,0.00072
14,169.158,1.51004,0.78494,1.25667,0.75037,0.73969,0.83419,0.38976,0.74249,212.946,0.47844,0.000613333,0.000613333,0.000613333
15,180.826,1.48342,0.75807,1.25555,0.63884,0.7947,0.59998,0.31395,0.66613,274.061,0.45119,0.000506667,0.000506667,0.000506667
