epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3194,1.92729,1.91059,1.3009,0.23523,0.74951,0.48409,0.19833,1.60034,14.1486,1.27977,0.000651515,0.000651515,0.000651515
2,18.2001,1.66657,0.96546,1.15104,0.748,0.70629,0.75643,0.36691,1.50048,1.65886,1.22818,0.00121273,0.00121273,0.00121273
3,24.8201,1.691,0.94686,1.157,0.82629,0.71958,0.80233,0.34942,1.55398,1.56811,1.2432,0.00166727,0.00166727,0.00166727
4,31.3604,1.61802,0.9071,1.13889,0.85575,0.71094,0.79171,0.39374,1.6337,0.84643,1.29661,0.00152,0.00152,0.00152
5,37.9121,1.58001,0.81862,1.11976,0.85727,0.77407,0.85005,0.43113,1.32508,0.8058,1.10313,0.00136,0.00136,0.00136
6,44.4787,1.51248,0.76398,1.08173,0.86937,0.7976,0.85497,0.45132,1.39752,0.73084,1.12265,0.0012,0.0012,0.0012
7,51.0511,1.49323,0.73374,1.06821,0.89429,0.82274,0.8853,0.47745,1.30858,0.63936,1.07687,0.00104,0.00104,0.00104
8,57.6116,1.47531,0.71129,1.06294,0.89262,0.84106,0.90105,0.47649,1.33363,0.63015,1.0929,0.00088,0.00088,0.00088
9,64.1876,1.41888,0.67406,1.04966,0.91259,0.84097,0.90632,0.49126,1.31636,0.61269,1.07177,0.00072,0.00072,0.00072
10,70.7479,1.39902,0.6416,1.03057,0.92181,0.86837,0.92542,0.49102,1.32512,0.60524,1.07882,0.00056,0.00056,0.00056
