epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4032,1.9266,1.90349,1.30767,0.44855,0.68664,0.43229,0.18958,1.58372,6.41103,1.2596,0.000651515,0.000651515,0.000651515
2,18.0774,1.68674,0.9582,1.15799,0.78667,0.67092,0.74528,0.36309,1.51216,1.78848,1.23689,0.00118768,0.00118768,0.00118768
3,24.6168,1.65911,1.02015,1.1486,0.80416,0.73576,0.81528,0.38357,1.45207,2.52377,1.14282,0.00159185,0.00159185,0.00159185
4,31.0679,1.57239,0.90276,1.11216,0.7952,0.73231,0.79138,0.36179,1.48893,0.92671,1.19322,0.001406,0.001406,0.001406
5,37.4864,1.54854,0.80331,1.11273,0.87908,0.82417,0.88058,0.45697,1.33258,0.78792,1.09783,0.001208,0.001208,0.001208
6,43.9428,1.54464,0.79996,1.09292,0.76706,0.75695,0.76326,0.31677,1.39799,1.58728,1.11314,0.00101,0.00101,0.00101
7,50.3571,1.44308,0.7178,1.05466,0.92402,0.83006,0.90218,0.46882,1.30465,0.62243,1.06548,0.000812,0.000812,0.000812
8,56.8116,1.43695,0.67516,1.04932,0.89394,0.81967,0.89038,0.46633,1.34518,0.65232,1.10418,0.000614,0.000614,0.000614
9,63.2668,1.36324,0.63064,1.02906,0.8904,0.87786,0.91522,0.49102,1.28627,0.58054,1.05152,0.000416,0.000416,0.000416
10,69.742,1.34352,0.60694,1.01468,0.92002,0.87008,0.91881,0.50378,1.27572,0.54343,1.04706,0.000218,0.000218,0.000218
